index,Company,TypeName,Inches,Resolution_Width,Resolution_Heigth,Touch_Screen,Cpu_Brand,Cpu_Name,Cpu_Speed,Ram,Memory_Type,Primary_Storage,Secondary_Storage,Gpu_Brand,OpSys,Weigth(kg),Price
0,Apple,Ultrabook,13.3,2560,1600,No,Intel,"Core i5",2.3GHz,8,SDD,128,0,Intel,macos,1.37,71378.7
1,Apple,Ultrabook,13.3,1440,900,No,Intel,"Core i5",1.8GHz,8,"Flash Storage",128,0,Intel,macos,1.34,47895.5
2,HP,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,8,SDD,256,0,Intel,N/A,1.86,30636.0
3,Apple,Ultrabook,15.4,2880,1800,No,Intel,"Core i7",2.7GHz,16,SDD,512,0,AMD,macos,1.83,135195.3
4,Apple,Ultrabook,13.3,2560,1600,No,Intel,"Core i5",3.1GHz,8,SDD,256,0,Intel,macos,1.37,96095.8
5,Acer,Notebook,15.6,1366,768,No,AMD,"A9-Series 9420",3GHz,4,HDD,500,0,AMD,windows,2.1,21312.0
6,Apple,Ultrabook,15.4,2880,1800,No,Intel,"Core i7",2.2GHz,16,"Flash Storage",256,0,Intel,macos,2.04,114017.6
7,Apple,Ultrabook,13.3,1440,900,No,Intel,"Core i5",1.8GHz,8,"Flash Storage",256,0,Intel,macos,1.34,61735.5
8,Asus,Ultrabook,14.0,1920,1080,No,Intel,"Core i7",1.8GHz,16,SDD,512,0,Nvidia,windows,1.3,79653.6
9,Acer,Ultrabook,14.0,1920,1080,No,Intel,"Core i5",1.6GHz,8,SDD,256,0,Intel,windows,1.6,41025.6
10,HP,Notebook,15.6,1366,768,No,Intel,"Core i5",2.5GHz,4,HDD,500,0,Intel,N/A,1.86,20987.0
11,HP,Notebook,15.6,1920,1080,No,Intel,"Core i3",2GHz,4,HDD,500,0,Intel,N/A,1.86,18381.1
12,Apple,Ultrabook,15.4,2880,1800,No,Intel,"Core i7",2.8GHz,16,SDD,256,0,AMD,macos,1.83,130001.6
13,Dell,Notebook,15.6,1920,1080,No,Intel,"Core i3",2GHz,4,SDD,256,0,AMD,windows,2.2,26581.4
14,Apple,Ultrabook,12.0,2304,1440,No,Intel,"Core M",1.2GHz,8,SDD,256,0,Intel,macos,0.92,67260.7
15,Apple,Ultrabook,13.3,2560,1600,No,Intel,"Core i5",2.3GHz,8,SDD,256,0,Intel,macos,1.37,80908.3
16,Dell,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.7GHz,8,SDD,256,0,AMD,windows,2.2,39693.6
17,Apple,Ultrabook,15.4,2880,1800,No,Intel,"Core i7",2.9GHz,16,SDD,512,0,AMD,macos,1.83,152274.2
18,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i3",2.4GHz,8,HDD,1024,0,Nvidia,N/A,2.2,26586.7
19,Dell,Ultrabook,13.3,1920,1080,Yes,Intel,"Core i5",1.6GHz,8,SDD,128,0,Intel,windows,1.22,52161.1
21,Lenovo,Gaming,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,8,Hybrid,128,1024,Nvidia,windows,2.5,53226.7
22,HP,Notebook,15.6,1366,768,No,AMD,"E-Series E2-9000e",1.5GHz,4,HDD,500,0,AMD,N/A,1.86,13746.2
23,Dell,"2 in 1 Convertible",13.3,1920,1080,Yes,Intel,"Core i5",1.6GHz,8,SDD,256,0,Intel,windows,1.62,43636.3
24,HP,Ultrabook,15.6,1920,1080,No,Intel,"Core i7",1.8GHz,8,SDD,256,0,Intel,windows,1.91,35111.5
25,Dell,Notebook,15.6,1366,768,No,Intel,"Core i3",2GHz,4,HDD,1024,0,Intel,windows,2.3,22305.1
